pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P10,13|70|73,75.0,6.430555555555556,4.408055555555555,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D7060_S1,design,7060,
P16,8|81|81,105.0,4.766666666666667,5.480222222222223,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D7060_S2,design,7060,
P15,8|84|88,108.0,6.016666666666667,5.777166666666666,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D7060_S3,design,7060,
P13,8|93|93,109.0,5.988888888888888,6.149111111111112,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D7060_S4,design,7060,
P11,24|114|114,110.0,6.840277777777779,5.832777777777778,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D7060_S5,design,7060,
P14,8|84|87,110.0,6.072222222222223,5.9077222222222225,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D7060_S6,design,7060,
P9,13|84|88,112.0,6.583333333333333,5.9991666666666665,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D7060_S7,design,7060,
P1,30|93|93,112.0,6.5555555555555545,6.704444444444445,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D7060_S8,design,7060,
P2,30|84|88,117.0,6.583333333333333,6.3325,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D7060_S9,design,7060,
P12,33|124|124,118.0,6.770833333333333,6.509444444444445,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D7060_S10,design,7060,
P6,25|114|114,119.0,6.9444444444444455,6.001111111111111,16,2.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,6.0,5.0,2.0,3.0,D7060_S11,design,7060,
P8,13|124|124,120.0,7.0,6.371111111111112,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D7060_S12,design,7060,
P5,25|124|124,124.0,7.0,6.594444444444445,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D7060_S13,design,7060,
P4,40|124|124,130.0,6.944444444444444,6.667777777777779,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D7060_S14,design,7060,
P3,39|124|124,142.0,7.0,6.704444444444445,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D7060_S15,design,7060,
