pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P14,17|78,75.0,6.59375,4.859166666666666,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D7750_S1,design,7750,
P11,10|78,85.0,6.333333333333334,5.166666666666667,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D7750_S2,design,7750,
P10,10|81,105.0,5.458333333333334,6.166666666666667,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D7750_S3,design,7750,
P8,10|89,108.0,6.291666666666667,6.890000000000001,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D7750_S4,design,7750,
P9,10|93,109.0,6.375,6.668333333333334,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D7750_S5,design,7750,
P2,30|93,112.0,6.666666666666666,6.778333333333334,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D7750_S6,design,7750,
P7,10|105,113.0,6.708333333333334,6.723333333333334,16,2.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,D7750_S7,design,7750,
P1,30|89,117.0,6.583333333333334,7.0,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D7750_S8,design,7750,
P13,17|123,120.0,6.84375,6.4158333333333335,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D7750_S9,design,7750,
P12,17|133,132.0,6.927083333333334,6.4725,1,4.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,2.0,3.0,6.0,4.0,5.0,2.0,1.0,D7750_S10,design,7750,
P4,37|105,141.0,6.78125,6.7508333333333335,15,3.0,6.0,6.0,4.0,4.0,4.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,D7750_S11,design,7750,
P3,37|133,147.0,6.739583333333334,6.8075,14,4.0,6.0,6.0,6.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,D7750_S12,design,7750,
P6,65|105,173.0,7.0,6.499583333333334,1,6.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,5.0,3.0,5.0,D7750_S13,design,7750,
P5,65|133,176.0,6.958333333333334,6.55625,1,6.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,D7750_S14,design,7750,
