team_id,display_label,setting,solution_id,cost,mean_performance,mean_job_satisfaction,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,setting_key
5100,Initial,redesign,Initial,0.0,5.191499177195127,5.499026061593863,7.0,6.0,6.0,4.0,3.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,5100_redesign
5100,Budget 5,redesign,R5100_S29,5.0,5.690934264810136,5.856386615898796,3.0,7.0,6.0,4.0,3.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,5100_redesign
5100,6/6,redesign,R5100_S67,9.0,6.071270934279897,6.016342540212053,2.0,7.0,6.0,6.0,3.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,5100_redesign
5100,6.5/6.5,redesign,R5100_S135,18.0,6.541354529459749,6.566207206352193,1.0,7.0,6.0,7.0,3.0,4.0,7.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,5100_redesign
5100,7/7,redesign,R5100_S491,39.0,7.0,7.0,1.0,7.0,6.0,7.0,3.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,2.0,3.0,5100_redesign
5100,Initial,design,Observed benchmark,135.0,4.444444444444444,5.665555555555557,7.0,6.0,6.0,4.0,3.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,5100_design
5100,Min cost,design,D5100_S1,75.0,6.18888888888889,5.147555555555556,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,5100_design
5100,6/6,design,D5100_S5,108.0,6.520833333333333,6.220833333333332,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,5100_design
5100,6.5/6.5,design,D5100_S10,118.0,6.770833333333333,6.509444444444445,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,5100_design
5100,7/7,design,D5100_S15,142.0,7.0,6.704444444444445,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5100_design
7270,Initial,redesign,Initial,0.0,5.232465125177023,5.704773211255359,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,7270_redesign
7270,Budget 5,redesign,R7270_S34,5.0,5.71292189750698,6.193532138978162,2.0,7.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,7270_redesign
7270,6/6,redesign,R7270_S63,8.0,6.081225769778122,6.039758910408647,3.0,6.0,5.0,7.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,7270_redesign
7270,6.5/6.5,redesign,R7270_S124,14.0,6.537885325266922,6.551017263843971,1.0,7.0,5.0,7.0,1.0,1.0,7.0,1.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,7270_redesign
7270,7/7,redesign,R7270_S449,35.0,7.0,7.0,1.0,7.0,5.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,6.0,5.0,1.0,4.0,7270_redesign
7270,Initial,design,Observed benchmark,106.0,5.763888888888889,5.480555555555555,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,7270_design
7270,Min cost,design,D7270_S1,75.0,6.368055555555556,5.313888888888889,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,7270_design
7270,6/6,design,D7270_S4,108.0,6.291666666666667,6.276666666666666,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,7270_design
7270,6.5/6.5,design,D7270_S7,112.0,6.866666666666667,6.622,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,7270_design
7270,7/7,design,D7270_S10,133.0,6.875,6.7775,2.0,6.0,6.0,5.0,3.0,4.0,7.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,7270_design
