team_id,setting,n_employees,evaluated_complete_policies,unique_feasible_policies,frontier_size,cost_to_6_0_6_0,cost_to_6_5_6_5,cost_to_7_0_7_0,cost_to_perf_7,cost_to_sat_7,candidate_upper_bound,visited_nodes,pruned_nodes,pruned_pct,frontier_max_cost,frontier_max_performance,frontier_max_job_satisfaction,runtime_seconds
1010,redesign,2,2671.0,2671.0,66,0.0,6.0,16.0,10.0,16.0,1452124800.0,38358.0,27504.0,0.7170342562177382,16.0,7.0,7.0,5.637146100401878
1020,redesign,2,2035.0,2035.0,46,0.0,3.0,10.0,8.0,9.0,1423082304.0,31646.0,22918.0,0.7241989508942679,10.0,7.0,7.0,5.3138156002387404
1030,redesign,2,1433.0,1433.0,51,3.0,9.0,27.0,6.0,27.0,138355224.0,18025.0,12543.0,0.6958668515950069,27.0,7.0,7.0,4.520167500246316
1040,redesign,2,2463.0,2463.0,46,4.0,11.0,22.0,5.0,22.0,1694145600.0,38220.0,27004.0,0.7065410779696494,22.0,7.0,7.0,5.7879059999249876
1050,redesign,2,1804.0,1804.0,76,3.0,10.0,25.0,7.0,25.0,12197848320.0,29868.0,22229.0,0.74424132851212,25.0,7.0,7.0,5.508753800299019
1060,redesign,2,1563.0,1563.0,9,0.0,0.0,5.0,2.0,5.0,112943040.0,22599.0,15210.0,0.6730386300278773,5.0,7.0,7.0,4.0924843000248075
1070,redesign,2,1828.0,1828.0,14,0.0,3.0,10.0,2.0,10.0,522764928.0,26979.0,18722.0,0.6939471440750213,10.0,7.0,7.0,4.642226499971002
1080,redesign,2,2664.0,2664.0,18,0.0,2.0,7.0,3.0,7.0,474360768.0,36558.0,25174.0,0.6886044094315882,7.0,7.0,7.0,5.285457000136375
1090,redesign,2,1581.0,1581.0,11,0.0,0.0,5.0,4.0,5.0,169414560.0,21599.0,14765.0,0.6835964627992037,5.0,7.0,7.0,4.08567350031808
1100,redesign,2,1649.0,1649.0,20,0.0,2.0,8.0,5.0,8.0,406594944.0,23444.0,16239.0,0.6926718989933458,8.0,7.0,7.0,4.555188400205225
1110,redesign,2,1873.0,1873.0,13,0.0,1.0,7.0,2.0,7.0,746807040.0,26974.0,19168.0,0.7106102172462371,7.0,7.0,7.0,4.682393299881369
1120,redesign,2,2393.0,2393.0,15,0.0,1.0,7.0,3.0,7.0,338829120.0,35264.0,24405.0,0.6920655626134301,7.0,7.0,7.0,5.290624999906868
1130,redesign,2,2092.0,2092.0,47,2.0,12.0,41.0,41.0,2.0,290424960.0,30153.0,20773.0,0.6889198421384274,41.0,7.0,7.0,4.934908200055361
1140,redesign,2,1967.0,1967.0,20,0.0,2.0,11.0,11.0,6.0,686128968.0,27535.0,19182.0,0.6966406391864899,11.0,7.0,7.0,4.713910300284624
1150,redesign,2,1180.0,1180.0,18,0.0,0.0,5.0,4.0,4.0,127060920.0,18269.0,12504.0,0.6844381192183481,5.0,7.0,7.0,4.02198710013181
1160,redesign,2,2013.0,2013.0,13,0.0,2.0,8.0,4.0,8.0,457419312.0,27007.0,18655.0,0.6907468434109675,8.0,7.0,7.0,4.486871500033885
1170,redesign,2,1427.0,1427.0,6,0.0,0.0,3.0,2.0,3.0,127060920.0,20434.0,14233.0,0.6965351864539493,3.0,7.0,7.0,3.8581872996874154
1180,redesign,2,1593.0,1593.0,22,0.0,0.0,6.0,5.0,5.0,248935680.0,22889.0,15713.0,0.6864869588011708,6.0,7.0,7.0,4.123654800001532
1190,redesign,2,2020.0,2020.0,10,0.0,1.0,6.0,2.0,6.0,451772160.0,29532.0,20384.0,0.6902343220912908,6.0,7.0,7.0,4.856035599950701
1200,redesign,2,1894.0,1894.0,18,0.0,2.0,8.0,3.0,8.0,381182760.0,28923.0,19764.0,0.6833316046053314,8.0,7.0,7.0,4.492679700255394
1210,redesign,2,670.0,670.0,4,0.0,0.0,3.0,0.0,3.0,16941456.0,8023.0,5168.0,0.6441480742864265,3.0,7.0,7.0,2.9502771999686956
2020,redesign,2,2943.0,2943.0,93,1.0,7.0,17.0,11.0,16.0,18232593750.0,45070.0,33825.0,0.7504992234302197,17.0,7.0,7.0,5.513931799679995
2040,redesign,1,2186.0,2186.0,28,0.0,5.0,12.0,12.0,3.0,15682947840.0,36550.0,27367.0,0.7487551299589603,12.0,7.0,7.0,5.259073699824512
2070,redesign,1,3991.0,3991.0,262,23.0,35.0,57.0,17.0,55.0,7318708992.0,59311.0,45270.0,0.7632648244001956,57.0,7.0,7.0,6.9769044001586735
3010,redesign,2,3134.0,3134.0,69,5.0,14.0,30.0,6.0,30.0,14002632000.0,48745.0,37046.0,0.7599958970150784,30.0,7.0,7.0,5.96685880003497
3020,redesign,3,3754.0,3754.0,71,0.0,5.0,15.0,14.0,12.0,1555848000.0,48025.0,34709.0,0.7227277459656429,15.0,7.0,7.0,5.612776699941605
3030,redesign,2,2659.0,2659.0,24,1.0,6.0,19.0,3.0,19.0,735138180.0,30614.0,22945.0,0.7494936956947802,19.0,7.0,7.0,4.291859300341457
3050,redesign,3,3384.0,3384.0,61,2.0,10.0,23.0,5.0,23.0,14002632000.0,62109.0,47938.0,0.7718366098311034,23.0,7.0,7.0,7.667923300061375
3070,redesign,3,3198.0,3198.0,40,2.0,8.0,20.0,5.0,20.0,152473104.0,44712.0,31274.0,0.6994542852030775,20.0,7.0,7.0,5.95148259960115
3080,redesign,2,1950.0,1950.0,8,0.0,0.0,6.0,6.0,2.0,1778852880.0,30268.0,22318.0,0.7373463724065019,6.0,7.0,7.0,5.200951899867505
3090,redesign,1,1958.0,1958.0,243,9.0,20.0,38.0,20.0,32.0,2032974720.0,29778.0,21853.0,0.7338639263886091,38.0,7.0,7.0,5.425653500016779
3100,redesign,1,2788.0,2788.0,7,0.0,0.0,2.0,2.0,1.0,700131600.0,38802.0,28872.0,0.7440853564249266,2.0,7.0,7.0,5.134848500136286
3110,redesign,2,2204.0,2204.0,120,5.0,12.0,28.0,28.0,16.0,3794886144.0,33743.0,23960.0,0.7100732003674837,28.0,7.0,7.0,5.490651700180024
3140,redesign,3,3126.0,3126.0,75,0.0,5.0,23.0,23.0,9.0,8712748800.0,45584.0,35308.0,0.7745700245700246,23.0,7.0,7.0,6.123940999619663
4010,redesign,2,6760.0,6760.0,361,11.0,23.0,44.0,11.0,39.0,10455298560.0,104983.0,78712.0,0.7497594848689788,44.0,7.0,7.0,9.907182900235057
