team_id,setting,n_employees,evaluated_complete_policies,unique_feasible_policies,frontier_size,cost_to_6_0_6_0,cost_to_6_5_6_5,cost_to_7_0_7_0,cost_to_perf_7,cost_to_sat_7,candidate_upper_bound,visited_nodes,pruned_nodes,pruned_pct,frontier_max_cost,frontier_max_performance,frontier_max_job_satisfaction,runtime_seconds
1010,design,2,8.0,8.0,8,108.0,110.0,,118.0,,240.0,135.0,118.0,0.8740740740740741,132.0,7.0,6.78,16.965792499948293
1020,design,2,4.0,4.0,4,75.0,112.0,,141.0,,84.0,65.0,55.0,0.8461538461538461,141.0,7.0,6.78,9.005904200021178
1030,design,2,16.0,16.0,11,110.0,117.0,,,,132.0,82.0,58.0,0.7073170731707317,141.0,6.958333333333334,6.5841666666666665,60.52598499972373
1040,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,130.0,60.0,52.0,0.8666666666666667,112.0,7.0,7.0,8.741222399752587
1050,design,2,19.0,19.0,17,108.0,116.0,,120.0,,208.0,128.0,99.0,0.7734375,142.0,7.0,6.778333333333334,89.34792049974203
1060,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,132.0,57.0,49.0,0.8596491228070176,112.0,7.0,7.0,8.297298400197178
1070,design,2,4.0,4.0,4,75.0,112.0,112.0,75.0,112.0,156.0,61.0,52.0,0.8524590163934426,112.0,7.0,7.0,5.334362500347197
1080,design,2,4.0,4.0,4,75.0,112.0,112.0,75.0,112.0,156.0,60.0,51.0,0.85,112.0,7.0,7.0,5.641139900311828
1090,design,2,5.0,5.0,5,75.0,,,141.0,,91.0,92.0,79.0,0.8586956521739131,141.0,7.0,6.776666666666667,8.843811099883169
1100,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,144.0,57.0,49.0,0.8596491228070176,112.0,7.0,7.0,6.63937889970839
1110,design,2,5.0,5.0,5,75.0,112.0,,141.0,,96.0,78.0,66.0,0.8461538461538461,141.0,7.0,6.731999999999999,10.03562350012362
1120,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,143.0,61.0,53.0,0.8688524590163934,112.0,7.0,7.0,8.027698900084943
1130,design,2,4.0,4.0,4,75.0,,,141.0,,84.0,77.0,66.0,0.8571428571428571,141.0,7.0,6.776666666666667,11.068974900059402
1140,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,143.0,61.0,53.0,0.8688524590163934,112.0,7.0,7.0,8.533299600239843
1150,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,130.0,60.0,52.0,0.8666666666666667,112.0,7.0,7.0,8.797184499911964
1160,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,154.0,65.0,57.0,0.8769230769230769,112.0,7.0,7.0,8.661035000346601
1170,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,121.0,53.0,45.0,0.8490566037735849,112.0,7.0,7.0,7.058324499987066
1180,design,2,5.0,5.0,4,75.0,112.0,,141.0,,108.0,56.0,46.0,0.8214285714285714,141.0,7.0,6.731999999999999,12.45368260005489
1190,design,2,3.0,3.0,3,75.0,112.0,112.0,112.0,112.0,143.0,61.0,53.0,0.8688524590163934,112.0,7.0,7.0,7.9883067002519965
1200,design,2,3.0,3.0,3,75.0,112.0,112.0,75.0,112.0,169.0,63.0,55.0,0.873015873015873,112.0,7.0,7.0,10.416301699820906
1210,design,2,2.0,2.0,2,75.0,112.0,112.0,112.0,112.0,156.0,62.0,55.0,0.8870967741935484,112.0,7.0,7.0,10.44288619980216
2020,design,2,7.0,7.0,7,108.0,118.0,118.0,118.0,108.0,182.0,86.0,72.0,0.8372093023255814,118.0,7.0,7.0,15.443247800227255
2040,design,1,3.0,3.0,3,75.0,75.0,112.0,112.0,112.0,13.0,14.0,10.0,0.7142857142857143,112.0,7.0,7.0,11.069574899971485
2070,design,1,7.0,7.0,7,108.0,110.0,,113.0,,16.0,17.0,9.0,0.5294117647058824,132.0,7.0,6.78,21.92383569991216
